帐号,客户 ID,有消费天数,总消费,2021/4/1,2021/4/2,2021/4/3,2021/4/4,2021/4/5,2021/4/6,2021/4/7,2021/4/8,2021/4/9,2021/4/10,2021/4/11,2021/4/12,2021/4/13,2021/4/14,2021/4/15,2021/4/16,2021/4/17,2021/4/18,2021/4/19,2021/4/20,2021/4/21,2021/4/22,2021/4/23,2021/4/24,2021/4/25,2021/4/26,2021/4/27,2021/4/28,2021/4/29,2021/4/30
4,5875155392,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
18,3960716174,2,3.1,,,,,,,,,,,,,,,,,,,,,,3.1,0,,,,,,,
27,3165871923,3,125.37,,,,,,,,,,,,,,,,,,,,,,,,2.93,102.16,,20.28,,,
32,3756757892,1,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,27.42,,,,
41,1229029060,3,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.12,2.21,
45,2780677705,3,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.72,0
46,5803710556,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
47,7740966690,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
(civintec)深圳市华智创科智能科技有限公司,7514898931,30,3677.12,149.47,104.94,50.33,65.08,113.19,121.14,233.91,159.14,97.99,89.24,68.69,152.88,137.89,212.8,127.59,68.42,52.86,68.1,132.57,155.51,96.09,148.81,129.19,95.87,59.68,112.99,180.33,211.03,142.16,139.23
（原邦杰防腐）常州易曼斯新材料科技有限公司,7311449493,30,4941.01,169.63,135.29,140.54,129.14,184.74,163.8,159.38,88.47,59.32,96.97,112.14,200.09,281.24,279.69,156.86,135.88,134.89,151.06,136.31,221.57,215.68,189.24,120.54,178.24,176.8,198.77,183.41,187.26,157.27,196.79
【断约】【瑾】科博鸿业（电动滑板车）【1025已通知续约】,3783857935,1,0.05,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,
【断约】千福（已经通知客户8.28）,4655254745,30,71.07,1.01,3.02,1.2,2.54,2.88,2.8,2.73,2.91,2.4,2.41,5.75,1,2.2,0.99,2.34,2.41,1.14,2.81,2.67,1.18,0.83,3.13,1.23,3.18,7.9,0.9,2.88,2.33,1.18,1.12
【新】何耀辉-1204-不动,4052363201,17,5.13,1.25,0,0,0,0,0,0,0,0,1.45,0,0.53,0,0,0,0,1.9,,,,,,,,,,,,,
0-海宁市正兴耐力板有限公司,2683428861,30,4000.71,111.24,100.9,101.45,112.24,125.69,149.96,136.97,154.32,151.42,124.83,101.28,151.39,144.09,137.02,168.95,131.79,102.73,84.18,125.02,178.13,138.58,148.68,151.45,124.67,122.46,129.65,157.22,156.44,153.21,124.75
0-杭州碱泵有限公司,7531385655,30,4864.29,195.4,97.95,155.41,115.97,168.57,236.5,222.17,161.58,170.29,117.35,125,206.26,198.85,185.83,184.24,144.09,109.9,135.34,184.52,172.86,165.86,200.67,145.98,126.17,95.66,191.18,188.33,169.41,155.6,137.35
0-杭州朗和科技有限公司-中文,5526870133,30,8947.3,325.64,272.25,130.78,113.37,185.01,305.8,338.7,229.45,392.43,137.69,172.15,411.61,380.29,255.76,383.93,267.25,284.74,252.88,376.77,472.4,358.33,413.51,316.98,166.95,281.7,354.95,393.04,326.86,315.38,330.7
0-杭州远方光电信息股份有限公司,3757259472,30,21900.62,754.51,747.34,732.78,753.29,757.94,788.89,757.46,748.24,751.05,727.08,756.24,765.21,780.25,763.71,742.63,756.27,693.96,717.04,730.35,738.75,728.67,728.88,712.3,713.66,676.1,735.01,708.32,675.28,657.74,601.67
0-浙江大成钙业有限公司,9778187826,28,912,32.99,30.34,33.17,36.1,33.7,36.81,30.18,21.1,28.31,42.04,33.67,32.72,35.42,34.95,31.89,32.65,11.59,,,59.18,49.64,31.4,29.75,30.6,33.92,29.79,30.73,28.24,28.24,22.88
0-浙江华康药业股份有限公司,2229209829,30,1958.69,109.66,112.17,95.72,98.71,97.24,99.57,97.04,99.74,92.47,104.23,97.55,100.73,51.56,41.08,46.94,45.37,46.31,41.63,49.54,50.39,43.81,39.61,41.03,40.24,37.72,38.38,33.32,43.49,35.76,27.68
0-浙江青龙胶带有限公司,4490904614,30,2710,144.98,142.52,124.06,130.7,119.72,140.23,117.42,125.71,107.98,100.95,98.87,95.35,108.5,53.8,92.15,90.86,68.32,47.39,103.1,113.41,89.74,113.66,73.97,50.99,86.17,87.29,57.93,6.88,3.43,13.92
1610杨朝来,4784895572,22,151.63,4.32,4.32,,,4.7,4.41,4.09,4.1,4.66,,,4.68,4.5,3.98,3.98,3.68,,,4.18,8.55,19.54,11.01,9.66,,,8.66,7.53,14.27,10.52,6.29
1906-01李娜,2811771542,22,1.2,0,,0,0,0,0.14,0.14,0.13,0.16,0,0,,0.11,0,0.13,0,,0,0,0,0.13,0.13,0.13,0,0,,,,,
1908-02郭超,1541722246,30,240.33,31.86,22.92,1.69,0.7,0,1,0,0,0,0.5,0,0,0.46,1,2,0,0,0.5,0,0,0,37.08,54.08,20.26,7.33,7.83,11.45,17.91,17.11,4.65
1909-01王冲,3920413403,30,432.85,3.67,3.72,0,0,0.79,0,22.71,52.21,21.07,13.71,0,0,131.45,139.8,2.97,5.09,1.9,0,1.86,1.89,2.97,4.74,1.95,0,0.7,5.2,2.79,8.74,2.92,0
1910-02尹捷,3020077205,30,319.64,0,4.92,3.97,0,2.11,1.98,3.8,10.61,11.08,0,0,1.5,6.64,6.26,12.56,0,19.23,0,6.51,40.77,1.5,10.39,36.36,6.07,12.03,26.83,18.06,10.57,42.95,22.94
1911-01李志强,9200363278,30,45.02,0.84,5.66,1.36,1.25,6.74,0.88,1.09,0.72,0.36,0.82,0.73,0.47,1.02,1.49,0.06,1.62,2.73,1.12,1.41,0.17,0.34,0.98,0.36,0.71,1.37,2.71,2.05,0.32,1.08,4.56
1911-02马少菲,3143718968,30,249.78,0,1,0.5,0,0.5,1.39,2.08,0.4,56.06,0,0.99,19.45,0.97,1,14.96,12.07,0,0,1.73,37.41,9.39,26.3,61.04,0.91,1.5,0.13,0,0,0,0
1912-01李绎冰,5108191419,30,498.25,2.69,4.06,1.45,7.19,6,5.67,1.5,2.56,1.5,2.42,3,27.83,43.11,102.21,6,25.24,18.1,17.84,13,17.65,15.84,11.84,17.55,17.58,19.34,10.44,23.32,27.57,22.35,23.4
191游戏手游,4564334227,30,555660.77,22400.08,27356.79,32396.03,34678.77,21883.92,22999.3,27854.45,20658.96,23158.91,27093.3,17309.53,20082.26,19740.38,22030.08,20740.04,25719.92,27007.53,20481.26,9885.72,8640.21,8536.28,13802.74,12656.46,5078.58,10236.95,7636.52,8791.7,10711.32,11734.76,14358.02
191游戏搜索,3171552864,30,113292.68,3371.35,3896.26,3371.36,3206.73,2754.03,2877.22,3655.42,4240.91,4574.59,4574.15,3756.36,3831.64,3478.56,3320.06,3586.23,4412.93,4829.25,4299.71,3750.33,3783.96,3320.82,3880.97,3864.96,4297.03,4127.06,3589.65,3866.23,3405.17,3672.15,3697.59
191游戏--英文,1081634086,1,157.54,157.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
